,index,splitted
0,Ralph Wright (story),10
1,Stan Lee,10
2,Bill Walsh (screenplay),9
3,Vance Gerry (story),9
4,Andrew Stanton (screenplay by),9
5,Bill Peet (story),8
6,Stu Krieger (teleplay),7
7,Jack Kirby,7
8,Bill Berg (story),7
9,Nick George (story),7
10,Burny Mattinson (story),7
11,Jack Kirby (based on the Marvel comics by),7
12,Stan Lee (based on the Marvel comics by),7
13,Rob Gibbs (story),7
14,Andrew Stanton (original story by),7
15,Ted Sears (story),7
16,Erdman Penner (story),6
17,Dan Berendsen,6
18,Joe Rinaldi (story),6
19,John Lasseter (original story by),6
20,Larry Clemmons (story),6
21,Harry Reeves (story),6
22,Homer Brightman (story),6
23,Ken Anderson (story),6
24,John Lasseter (story),6
25,Jeff Pidgeon (story),5
26,Scott Morse (story),5
27,David Fowler,5
28,Winston Hibler (story),5
29,Francis Glebas (story),5
30,Dan Berendsen (teleplay),5
31,Bill Motz,5
32,Don Tait (screenplay),5
33,Bob Roth,5
34,Thom Enriquez (story),5
35,Pete Docter (original story by),5
36,Carrie Beck,4
37,Don DaGradi (screenplay),4
38,Mark Twain (novel),4
39,George Lucas (based on characters created by),4
40,Mark McCorkle,4
41,Kevin Harkey (story),4
42,Scott Thomas,4
43,Jed Elinoff,4
44,Dodie Smith (novel),4
45,Tom Rogers (screenplay),4
46,George Lucas (story by),4
47,Joe Grant (story),4
48,Stephen McFeely (screenplay by),4
49,Christopher Markus (screenplay by),4
50,Ed Gombert (story),4
51,James Algar,4
52,Milt Banta (story),4
53,Michael Price,4
54,Ted Sears (screenplay),4
55,Roy Williams (story),4
56,Evan Spiliotopoulos (screenplay),4
57,Peter Young (story),4
58,Ted Berman (story),4
59,William Cottrell (story),4
60,Robert Schooley,4
61,Lowell S. Hawley (screenplay),4
62,George Lucas,4
63,Jennifer Lee (screenplay by),4
64,Roberts Gannaway,4
65,Annie DeYoung (teleplay),4
66,Al Bertino (story),3
67,Stu Krieger,3
68,Marianne Wibberley (screenplay),3
69,Felix Salten (novel),3
70,Regina Y. Hicks,3
71,Karin Gist,3
72,Temple Mathews (screenplay),3
73,Danny Kallis,3
74,Bob Peterson (screenplay by),3
75,Michael Poryes,3
76,A.A. Milne (characters),3
77,Cormac Wibberley (screenplay),3
78,John Sanford (story),3
